Age_Numeric,Age,WebframeHaveWorkedWith
2,18-24 years old,ASP.NET
2,18-24 years old,ASP.NET CORE
2,18-24 years old,React
6,55-64 years old,jQuery
2,18-24 years old,Express
2,18-24 years old,Flask
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
4,35-44 years old,jQuery
4,35-44 years old,Next.js
4,35-44 years old,React
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
4,35-44 years old,React
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,Node.js
4,35-44 years old,ASP.NET
4,35-44 years old,ASP.NET CORE
4,35-44 years old,React
5,45-54 years old,ASP.NET
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET
3,25-34 years old,jQuery
3,25-34 years old,Node.js
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Flask
3,25-34 years old,jQuery
3,25-34 years old,Node.js
3,25-34 years old,Vue.js
8,Prefer not to say,Vue.js
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,jQuery
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Angular
4,35-44 years old,Express
4,35-44 years old,jQuery
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
5,45-54 years old,Express
5,45-54 years old,jQuery
5,45-54 years old,Vue.js
4,35-44 years old,Flask
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
5,45-54 years old,ASP.NET CORE
4,35-44 years old,ASP.NET
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,jQuery
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
2,18-24 years old,Angular
3,25-34 years old,jQuery
3,25-34 years old,ASP.NET CORE
2,18-24 years old,jQuery
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,Express
5,45-54 years old,jQuery
5,45-54 years old,Node.js
5,45-54 years old,React
3,25-34 years old,jQuery
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
3,25-34 years old,Angular
3,25-34 years old,Flask
3,25-34 years old,Vue.js
3,25-34 years old,Flask
3,25-34 years old,jQuery
2,18-24 years old,Vue.js
2,18-24 years old,Flask
4,35-44 years old,ASP.NET
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,ASP.NET
4,35-44 years old,ASP.NET CORE
4,35-44 years old,jQuery
2,18-24 years old,Angular
2,18-24 years old,jQuery
2,18-24 years old,Node.js
2,18-24 years old,React
6,55-64 years old,ASP.NET
6,55-64 years old,ASP.NET CORE
6,55-64 years old,jQuery
3,25-34 years old,Node.js
3,25-34 years old,ASP.NET CORE
3,25-34 years old,jQuery
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
2,18-24 years old,Flask
3,25-34 years old,Angular
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,jQuery
4,35-44 years old,Flask
3,25-34 years old,Flask
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Angular
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,jQuery
3,25-34 years old,Node.js
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
7,65 years or older,Express
7,65 years or older,Node.js
7,65 years or older,React
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,jQuery
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,Vue.js
3,25-34 years old,Angular
5,45-54 years old,ASP.NET CORE
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Angular
4,35-44 years old,Express
4,35-44 years old,Flask
4,35-44 years old,jQuery
4,35-44 years old,Node.js
4,35-44 years old,React
1,Under 18 years old,Flask
1,Under 18 years old,jQuery
1,Under 18 years old,Node.js
1,Under 18 years old,React
1,Under 18 years old,Vue.js
3,25-34 years old,jQuery
3,25-34 years old,Node.js
4,35-44 years old,jQuery
4,35-44 years old,Vue.js
4,35-44 years old,React
5,45-54 years old,Node.js
5,45-54 years old,Vue.js
4,35-44 years old,jQuery
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Vue.js
4,35-44 years old,Flask
4,35-44 years old,jQuery
4,35-44 years old,ASP.NET CORE
4,35-44 years old,jQuery
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
4,35-44 years old,Angular
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,Angular
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
8,Prefer not to say,Angular
8,Prefer not to say,ASP.NET
8,Prefer not to say,ASP.NET CORE
8,Prefer not to say,jQuery
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Vue.js
4,35-44 years old,Vue.js
1,Under 18 years old,Node.js
4,35-44 years old,ASP.NET
4,35-44 years old,jQuery
4,35-44 years old,Vue.js
4,35-44 years old,Vue.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
6,55-64 years old,jQuery
6,55-64 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,jQuery
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
2,18-24 years old,ASP.NET
2,18-24 years old,ASP.NET CORE
2,18-24 years old,Express
2,18-24 years old,jQuery
2,18-24 years old,Node.js
2,18-24 years old,React
5,45-54 years old,Angular
3,25-34 years old,Express
3,25-34 years old,React
5,45-54 years old,ASP.NET CORE
5,45-54 years old,jQuery
5,45-54 years old,Node.js
5,45-54 years old,React
2,18-24 years old,Express
2,18-24 years old,Flask
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Vue.js
4,35-44 years old,Angular
4,35-44 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,Angular
5,45-54 years old,ASP.NET CORE
5,45-54 years old,jQuery
5,45-54 years old,Node.js
4,35-44 years old,ASP.NET CORE
4,35-44 years old,React
5,45-54 years old,Angular
5,45-54 years old,ASP.NET
5,45-54 years old,ASP.NET CORE
5,45-54 years old,jQuery
5,45-54 years old,Node.js
5,45-54 years old,React
4,35-44 years old,Express
4,35-44 years old,jQuery
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,Node.js
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Express
4,35-44 years old,jQuery
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Vue.js
7,65 years or older,Node.js
7,65 years or older,React
5,45-54 years old,ASP.NET CORE
1,Under 18 years old,Flask
1,Under 18 years old,Next.js
1,Under 18 years old,Node.js
1,Under 18 years old,React
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,jQuery
6,55-64 years old,jQuery
4,35-44 years old,ASP.NET
4,35-44 years old,ASP.NET CORE
5,45-54 years old,jQuery
5,45-54 years old,jQuery
5,45-54 years old,Node.js
5,45-54 years old,React
4,35-44 years old,Express
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,Angular
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,jQuery
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
3,25-34 years old,ASP.NET CORE
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,Node.js
4,35-44 years old,ASP.NET
4,35-44 years old,ASP.NET CORE
4,35-44 years old,jQuery
4,35-44 years old,Node.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,Flask
3,25-34 years old,jQuery
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
1,Under 18 years old,Angular
1,Under 18 years old,ASP.NET CORE
1,Under 18 years old,Node.js
5,45-54 years old,Node.js
5,45-54 years old,Vue.js
3,25-34 years old,React
5,45-54 years old,ASP.NET
5,45-54 years old,ASP.NET CORE
5,45-54 years old,Express
5,45-54 years old,Flask
5,45-54 years old,jQuery
5,45-54 years old,Next.js
5,45-54 years old,Node.js
3,25-34 years old,Node.js
3,25-34 years old,React
6,55-64 years old,ASP.NET
6,55-64 years old,ASP.NET CORE
6,55-64 years old,jQuery
6,55-64 years old,Vue.js
5,45-54 years old,Next.js
5,45-54 years old,Node.js
5,45-54 years old,React
5,45-54 years old,Express
5,45-54 years old,Flask
5,45-54 years old,Node.js
5,45-54 years old,React
5,45-54 years old,Vue.js
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
4,35-44 years old,Angular
4,35-44 years old,ASP.NET CORE
6,55-64 years old,jQuery
4,35-44 years old,Flask
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Vue.js
3,25-34 years old,Flask
3,25-34 years old,Next.js
4,35-44 years old,Angular
2,18-24 years old,Angular
2,18-24 years old,ASP.NET CORE
3,25-34 years old,Node.js
2,18-24 years old,Express
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,jQuery
2,18-24 years old,React
4,35-44 years old,React
4,35-44 years old,Express
4,35-44 years old,Flask
4,35-44 years old,jQuery
4,35-44 years old,React
3,25-34 years old,Express
3,25-34 years old,Node.js
5,45-54 years old,Angular
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,Angular
5,45-54 years old,Express
5,45-54 years old,Flask
5,45-54 years old,jQuery
5,45-54 years old,Node.js
5,45-54 years old,React
5,45-54 years old,Vue.js
4,35-44 years old,Angular
4,35-44 years old,ASP.NET
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,jQuery
3,25-34 years old,Vue.js
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
6,55-64 years old,ASP.NET
6,55-64 years old,Express
6,55-64 years old,Node.js
6,55-64 years old,React
4,35-44 years old,Node.js
4,35-44 years old,React
2,18-24 years old,Node.js
3,25-34 years old,Angular
3,25-34 years old,jQuery
3,25-34 years old,Node.js
4,35-44 years old,ASP.NET CORE
4,35-44 years old,React
4,35-44 years old,Flask
5,45-54 years old,Angular
5,45-54 years old,Node.js
5,45-54 years old,Express
5,45-54 years old,Node.js
5,45-54 years old,Vue.js
4,35-44 years old,jQuery
4,35-44 years old,jQuery
4,35-44 years old,Next.js
4,35-44 years old,React
6,55-64 years old,ASP.NET CORE
6,55-64 years old,Express
6,55-64 years old,Flask
6,55-64 years old,jQuery
6,55-64 years old,Next.js
6,55-64 years old,Node.js
6,55-64 years old,React
6,55-64 years old,Vue.js
4,35-44 years old,Angular
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Flask
4,35-44 years old,Vue.js
5,45-54 years old,Angular
5,45-54 years old,React
5,45-54 years old,ASP.NET
3,25-34 years old,Angular
3,25-34 years old,Flask
3,25-34 years old,Vue.js
4,35-44 years old,Flask
5,45-54 years old,Angular
5,45-54 years old,ASP.NET
5,45-54 years old,ASP.NET CORE
5,45-54 years old,Node.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Vue.js
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Vue.js
2,18-24 years old,jQuery
2,18-24 years old,Next.js
2,18-24 years old,React
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Angular
4,35-44 years old,React
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
2,18-24 years old,Flask
2,18-24 years old,jQuery
2,18-24 years old,React
4,35-44 years old,jQuery
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,React
3,25-34 years old,Next.js
3,25-34 years old,React
4,35-44 years old,jQuery
3,25-34 years old,Angular
3,25-34 years old,Node.js
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
2,18-24 years old,Node.js
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Flask
1,Under 18 years old,Node.js
1,Under 18 years old,Vue.js
4,35-44 years old,React
4,35-44 years old,React
3,25-34 years old,jQuery
3,25-34 years old,Node.js
4,35-44 years old,Angular
4,35-44 years old,Next.js
3,25-34 years old,jQuery
3,25-34 years old,Angular
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
5,45-54 years old,ASP.NET
5,45-54 years old,ASP.NET CORE
5,45-54 years old,jQuery
3,25-34 years old,React
2,18-24 years old,Express
2,18-24 years old,jQuery
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,Vue.js
5,45-54 years old,jQuery
5,45-54 years old,Node.js
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Angular
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,jQuery
3,25-34 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,Angular
4,35-44 years old,jQuery
4,35-44 years old,React
4,35-44 years old,Vue.js
4,35-44 years old,ASP.NET CORE
4,35-44 years old,jQuery
4,35-44 years old,Node.js
5,45-54 years old,ASP.NET
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,React
8,Prefer not to say,React
2,18-24 years old,Node.js
2,18-24 years old,Vue.js
3,25-34 years old,React
5,45-54 years old,Express
5,45-54 years old,Node.js
5,45-54 years old,React
5,45-54 years old,Node.js
3,25-34 years old,Node.js
4,35-44 years old,React
5,45-54 years old,jQuery
2,18-24 years old,ASP.NET CORE
2,18-24 years old,React
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
4,35-44 years old,Angular
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Next.js
4,35-44 years old,React
3,25-34 years old,jQuery
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,Flask
5,45-54 years old,Node.js
5,45-54 years old,Vue.js
3,25-34 years old,Express
3,25-34 years old,jQuery
3,25-34 years old,Node.js
2,18-24 years old,ASP.NET
2,18-24 years old,Express
2,18-24 years old,Flask
2,18-24 years old,Node.js
2,18-24 years old,React
4,35-44 years old,React
3,25-34 years old,Express
3,25-34 years old,Flask
3,25-34 years old,jQuery
3,25-34 years old,Node.js
3,25-34 years old,React
1,Under 18 years old,ASP.NET
1,Under 18 years old,Node.js
1,Under 18 years old,React
3,25-34 years old,Angular
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Next.js
4,35-44 years old,Node.js
2,18-24 years old,Angular
2,18-24 years old,jQuery
2,18-24 years old,Node.js
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,jQuery
3,25-34 years old,Vue.js
3,25-34 years old,Vue.js
3,25-34 years old,Express
3,25-34 years old,Flask
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,React
2,18-24 years old,Angular
2,18-24 years old,Node.js
2,18-24 years old,Vue.js
4,35-44 years old,Flask
4,35-44 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,jQuery
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,Angular
4,35-44 years old,Express
4,35-44 years old,jQuery
4,35-44 years old,Node.js
2,18-24 years old,Angular
2,18-24 years old,Node.js
2,18-24 years old,React
5,45-54 years old,Express
5,45-54 years old,jQuery
5,45-54 years old,Node.js
5,45-54 years old,React
2,18-24 years old,ASP.NET
2,18-24 years old,ASP.NET CORE
2,18-24 years old,Express
2,18-24 years old,Node.js
2,18-24 years old,Express
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Vue.js
5,45-54 years old,Angular
5,45-54 years old,React
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Flask
4,35-44 years old,jQuery
4,35-44 years old,React
3,25-34 years old,jQuery
3,25-34 years old,Node.js
5,45-54 years old,Node.js
5,45-54 years old,Next.js
5,45-54 years old,Node.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,Node.js
5,45-54 years old,React
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
3,25-34 years old,jQuery
3,25-34 years old,Node.js
5,45-54 years old,React
3,25-34 years old,Express
3,25-34 years old,Flask
3,25-34 years old,jQuery
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,Node.js
5,45-54 years old,React
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,Next.js
3,25-34 years old,React
4,35-44 years old,Node.js
5,45-54 years old,Flask
2,18-24 years old,Vue.js
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
6,55-64 years old,ASP.NET
6,55-64 years old,ASP.NET CORE
6,55-64 years old,jQuery
6,55-64 years old,Vue.js
4,35-44 years old,Node.js
4,35-44 years old,Angular
6,55-64 years old,Angular
2,18-24 years old,Angular
2,18-24 years old,ASP.NET CORE
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Next.js
2,18-24 years old,React
3,25-34 years old,ASP.NET
3,25-34 years old,ASP.NET CORE
